x,y,VAUD_mean,VBUD_mean,VCUD_mean,VALR_mean,VBLR_mean,VCLR_mean,PXAL_mean,PXAM_mean,PXAR_mean,PXBL_mean,PXBM_mean,PXBR_mean,PYAL_mean,PYAM_mean,PYAR_mean,PYBL_mean,PYBM_mean,PYBR_mean,VAUD_std,VBUD_std,VCUD_std,VALR_std,VBLR_std,VCLR_std,PXAL_std,PXAM_std,PXAR_std,PXBL_std,PXBM_std,PXBR_std,PYAL_std,PYAM_std,PYAR_std,PYBL_std,PYBM_std,PYBR_std
18,-1,0.022427373,0.003171029,0.04507952,0.065601099,0.009423676,0,0.072941359,0.076096703,0.051500799,0.110878721,0.154221578,0.157118382,0.047205594,0.036331269,0.047110589,0.041201898,0.039919514,0.012329195,0.033618445,0.032542052,0.009639561,0.035100147,0.031964149,0.013676503,0.037135582,0.049377616,0.046444809,0.038002915,0.021154817,0.023951757,0.025450705,0.03693238,0.031604282,0.004579609,0.007561585,0.003392268
18,-10,0.038558242,0.028761638,0.041832767,0.020524176,0.022381518,0.035155045,0.008259041,0.01703047,0.094603796,0.045998002,0.029668132,0.002532268,0.066396803,0.064070829,0.068205994,0.035712687,0.041162971,0.019100823,0.003162539,0.001522692,0.001082497,0.00808054,0.00194322,0.00297536,0.017817782,0.025469093,0.015950527,0.017262022,0.015993046,0.005243414,0.003314766,0.004486766,0.004353313,0.000976858,0.00203418,0.001120122
18,-2,0.002757143,0.018475924,0.0480002,0.043330769,0.004168531,0.007357742,0.065615285,0.064812488,0.02478002,0.124010789,0.158175325,0.15898012,0.023494206,0.005245754,0.012844855,0.041224675,0.040271662,0.01278464,0.04078102,0.019885753,0.008489286,0.043190432,0.021284893,0.01208582,0.037825002,0.051376404,0.040764714,0.02217224,0.010634413,0.019319568,0.043599608,0.046861205,0.025382631,0.004148766,0.006907977,0.002735685
18,-3,0,0.025798801,0.049689011,0.024423377,0.002497003,0.017759341,0.034543157,0.018442657,0,0.129313487,0.155111389,0.148552747,0.016231768,0,0.001048851,0.039868332,0.040493141,0.014468656,0.038947624,0.00624733,0.002397838,0.040536645,0.009169581,0.005565636,0.039813836,0.03366216,0.013533962,0.013810053,0.009962291,0.024122662,0.046407559,0.046589857,0.020935576,0.00251157,0.00496488,0.002428743
18,-4,0.016352747,0.028463536,0.048734366,0.00625974,0.008164036,0.022163337,0.012577922,0.0097004,0.004447153,0.126618282,0.148398202,0.118885115,0.014049351,0.003803097,0.002856743,0.038872627,0.040558675,0.015426897,0.027108473,0.00328966,0.002472727,0.026140979,0.005718258,0.003662236,0.026964469,0.026861413,0.017971699,0.01134891,0.013710935,0.040092509,0.048603621,0.048020106,0.022598329,0.002342495,0.004616577,0.002304198
18,-5,0.026905694,0.028742358,0.046121079,0,0.013126474,0.025215485,0.000581718,0,0.006377023,0.120228072,0.13244006,0.053666434,0.024442158,0.033254545,0.008625874,0.036659141,0.040615219,0.017709415,0.00793593,0.002063234,0.00194454,0.012443971,0.004264711,0.002923693,0.006604179,0.004255721,0.011155804,0.015791362,0.022166235,0.036688816,0.046605832,0.037040132,0.024798501,0.001375464,0.002721014,0.001310618
18,-6,0.028498302,0.029872727,0.045713387,0.000714386,0.017082517,0.028086913,0.000679121,0.000492008,0.012682717,0.10963966,0.115556244,0.02461958,0.044385415,0.034884316,0.029992008,0.036666933,0.040715418,0.017748576,0.006667085,0.001768331,0.00198411,0.009978185,0.002643206,0.002532999,0.006999491,0.006351124,0.017256385,0.017431681,0.02752193,0.022245148,0.03659634,0.039165124,0.02798401,0.001385157,0.002721463,0.001332263
18,-7,0.033525475,0.02948002,0.044371628,0.008078521,0.019785215,0.030016484,0,0.001782318,0.030662338,0.102495205,0.100021179,0.013162737,0.061698601,0.059839361,0.054502098,0.036215385,0.040855279,0.018376747,0.003295266,0.001479519,0.001387325,0.00591931,0.00220294,0.002101481,0.005271162,0.00789097,0.022344375,0.0172778,0.026918999,0.011778443,0.021166657,0.009029423,0.018124303,0.000746942,0.001433102,0.000734102
18,-8,0.03562008,0.028997003,0.043233866,0.013016484,0.020768032,0.03169011,0.001331868,0.003638462,0.058832468,0.08691019,0.073346454,0.007794206,0.067383516,0.060514985,0.062352547,0.035829371,0.041007127,0.018909814,0.003431477,0.001449402,0.0013779,0.007334414,0.001648521,0.00231208,0.00765907,0.011137422,0.028976781,0.023641108,0.02996449,0.007932388,0.014970174,0.014392719,0.013097668,0.000775089,0.001508923,0.000754195
18,-9,0.037121978,0.029016084,0.042700999,0.016315285,0.02143956,0.032821079,0.004338961,0.008538761,0.076168032,0.074174625,0.054888212,0.005589111,0.070722577,0.063874026,0.066841858,0.035675125,0.041120613,0.019143181,0.002751808,0.001405951,0.001186624,0.007808315,0.001651573,0.002498105,0.014589294,0.019121741,0.021440656,0.021820936,0.024242675,0.006312622,0.004680381,0.004459268,0.005475503,0.000805452,0.001627421,0.00082119
18,0,0.036368232,0.002824975,0.029177123,0.077949151,0.03623017,0.00372038,0.090033566,0.102420679,0.06900979,0.084200699,0.120053846,0.124011089,0.054751848,0.04837013,0.06547982,0.033163836,0.031157976,0.008245179,0.020484851,0.030589904,0.035692587,0.021552437,0.038028423,0.031591885,0.030527925,0.041856652,0.045111217,0.053522717,0.056399982,0.055927601,0.016989639,0.02280087,0.02352845,0.015944158,0.019230854,0.010497739
18,1,0.044684216,0.016851149,0.017992208,0.079519181,0.057240659,0.01267013,0.104821279,0.127438162,0.095894805,0.061405994,0.10443007,0.124464535,0.056526474,0.055014086,0.077996304,0.026562537,0.023258175,0.005756867,0.005985096,0.019768146,0.039159968,0.01061364,0.023732492,0.041840189,0.00659212,0.015129967,0.02966112,0.054825596,0.060663135,0.051825561,0.009445516,0.006394767,0.006280109,0.018257997,0.02122364,0.011569542
18,10,0.044317682,0.029963836,0.04097003,0.03597952,0.024354845,0.043016184,0.018453646,0.041973926,0.106934166,0.037513487,0.020633167,0.022031369,0.057845455,0.063017283,0.071139461,0.035778222,0.039459874,0.017777347,0.00090047,0.001336417,0.00163374,0.001581926,0.001314689,0.004858792,0.005912941,0.013312858,0.005193581,0.017285107,0.021701887,0.00987007,0.000780888,0.000853272,0.000859071,0.001276597,0.001823058,0.001186651
18,2,0.047233566,0.020245654,0,0.067222278,0.057671429,0.028652647,0.102696503,0.127831169,0.107092208,0.033237962,0.059696703,0.083212188,0.059472028,0.057238961,0.077526973,0.012182018,0.009889444,0.000235189,0.004370301,0.014989171,0.045131331,0.011936089,0.016323661,0.048902966,0.007197262,0.010645356,0.018255641,0.050561088,0.06165039,0.065926609,0.002596035,0.003904131,0.004479136,0.017841312,0.02086299,0.018258523
18,3,0.048769131,0.023431668,0.008347353,0.05635035,0.055605894,0.052339461,0.098062537,0.125025774,0.112886713,0.003971129,0.016668831,0.03265045,0.060477822,0.058865135,0.07678042,0.005405495,0.004005928,5.42E-06,0.002640335,0.00775552,0.036114917,0.007638227,0.01299943,0.039351774,0.007874535,0.00881645,0.005008553,0.024710336,0.041233546,0.050451795,0.001831914,0.002321666,0.002532393,0.015769136,0.017925627,0.018303992
18,4,0.048096304,0.028254046,0.021538062,0.050032567,0.044414286,0.057225375,0.089300599,0.117126773,0.112682517,9.47E-05,0.00184985,0.009620679,0.0613003,0.060115185,0.075200699,0,0.00025378,0.003815209,0.001429655,0.00389203,0.034830682,0.005139996,0.008127765,0.025718303,0.01343459,0.013294892,0.004194555,0.01079932,0.017186945,0.030645443,0.001564278,0.001334326,0.001797133,0.011567205,0.01329883,0.016581797
18,5,0.047775824,0.030433966,0.033339161,0.046016583,0.03717013,0.063946054,0.076201099,0.106693606,0.111357443,0.004062737,0,0,0.059125275,0.060323976,0.074567233,0.006098002,0.006923311,0.008487936,0.001514843,0.002706357,0.007622989,0.004220354,0.007724796,0.011014299,0.019283734,0.019871304,0.004433376,0.010868236,0.00553698,0.006482094,0.000978878,0.001050805,0.001512659,0.01481969,0.016404677,0.012577172
18,6,0.046788012,0.031055644,0.034082617,0.042915085,0.030740559,0.061178422,0.056599301,0.092503497,0.109452647,0.008043057,0.001495105,0.000113487,0.059732468,0.061079221,0.073855944,0.015819281,0.017666767,0.012282442,0.001515399,0.001541442,0.006191527,0.003600808,0.005104452,0.00912765,0.019041895,0.022039917,0.005983751,0.012679115,0.008900998,0.006738138,0.001073011,0.001149326,0.001372675,0.017299648,0.018662599,0.008291142
18,7,0.04576973,0.030810589,0.037595205,0.040615185,0.028103397,0.053445055,0.040985814,0.07988042,0.108806194,0.01627952,0.00612977,0.004254246,0.059080819,0.061751349,0.073107093,0.029785814,0.03235338,0.014988935,0.001467455,0.001666584,0.003861915,0.003039422,0.003456977,0.008534972,0.016741828,0.022740169,0.006017734,0.015600511,0.013563864,0.010466718,0.001005127,0.00107365,0.001341858,0.011314288,0.012284781,0.004649471
18,8,0.046249351,0.031360739,0.039794905,0.039801499,0.027352847,0.050813586,0.034066434,0.074503497,0.108177622,0.01717972,0.006627872,0.017339161,0.058622278,0.061764935,0.07317982,0.035659141,0.038176358,0.016185739,0.00123677,0.001497702,0.002038129,0.002559319,0.002580799,0.004639028,0.013482524,0.018911305,0.004580059,0.012567353,0.008838024,0.003675074,0.00100411,0.001007941,0.001291303,0.004087912,0.004909462,0.001901167
18,9,0.045546853,0.0309005,0.04148002,0.038309191,0.025792507,0.045243057,0.026906494,0.063478721,0.107208691,0.029705594,0.016745155,0.021037263,0.057832268,0.062173327,0.072804995,0.036354446,0.039322412,0.016836688,0.001170608,0.001440243,0.001657041,0.002287854,0.001875752,0.004953778,0.009648605,0.019288544,0.006414065,0.017554343,0.01954087,0.007634899,0.000839935,0.000867414,0.001099729,0.001606822,0.002299376,0.001429116
19,-1,0.026870629,0,0.041027972,0.072626374,0.021255445,0.001244855,0.079095405,0.074408991,0.060544755,0.092161139,0.135254845,0.141511189,0.039311888,0.042936464,0.054464036,0.037134565,0.035925075,0.011099001,0.030823943,0.032439046,0.018252896,0.03004524,0.03761356,0.018786674,0.037660339,0.050697308,0.045612419,0.049084362,0.048559398,0.039358226,0.036284133,0.029025299,0.02809302,0.010708082,0.013932718,0.007140279
19,-10,0.037642557,0.0286,0.042233167,0.018198601,0.022452448,0.034730869,0.003607493,0.009827872,0.089022577,0.06029021,0.041728472,0.028011688,0.065916883,0.063787113,0.069553147,0.034461139,0.039369431,0.019115285,0.002836789,0.0014333,0.001136378,0.007234001,0.001115744,0.002295794,0.009264084,0.012931722,0.019399493,0.022683528,0.023479706,0.004278986,0.005017603,0.002764198,0.003642507,0.000656288,0.00124512,0.000629042
19,-2,0.015405694,0.018094006,0.047201798,0.059798701,0.010007992,0.005245554,0.066878122,0.067171329,0.039516184,0.121258841,0.157018981,0.157575624,0.026740859,0.029051249,0.030181019,0.040585115,0.039493107,0.012788611,0.034558729,0.020103827,0.006343677,0.039665816,0.025709168,0.01218553,0.038801407,0.048676835,0.0440236,0.027389211,0.017383982,0.0147522,0.044143221,0.038080628,0.028266636,0.00321989,0.006205386,0.003222056
19,-3,0.004228571,0.021779321,0.048503596,0.03249001,0,0.012575025,0.044941658,0.040076424,0.019790609,0.131153147,0.158026673,0.151227273,0,0.006774925,0.009047453,0.039201499,0.039721779,0.014475225,0.036208971,0.010037963,0.003357307,0.041675222,0.013798518,0.008994036,0.041161065,0.046079533,0.035817032,0.012129899,0.006568401,0.017178205,0.050022562,0.048165186,0.02397764,0.002851292,0.005692344,0.002903675
19,-4,0.013017682,0.027341958,0.048762238,0.020046454,0.006951149,0.019946154,0.019483516,0.010506993,0.005986713,0.12887043,0.152935964,0.131521379,0.009656843,0.009497003,0,0.038093207,0.039665335,0.015562438,0.033505632,0.004827292,0.002478056,0.034480886,0.006938082,0.004563387,0.032899677,0.024466141,0.01848905,0.009564883,0.009531306,0.025238355,0.048178523,0.049234393,0.016002186,0.002478869,0.00488384,0.002380763
19,-5,0.025525475,0.02842967,0.047151149,0.010407792,0.011264336,0.023546953,0.003241159,0.001998701,0.006806793,0.122577722,0.139522178,0.090910689,0.026768931,0.024400899,0.002007592,0.036574725,0.039552647,0.017106793,0.022629269,0.002900565,0.002108332,0.021675066,0.005630262,0.00454191,0.011067048,0.005659379,0.013296381,0.017463963,0.024367726,0.035560668,0.044738629,0.043449485,0.017934712,0.001848729,0.003594605,0.001735995
19,-6,0.032373427,0.029201499,0.04583976,0.007463037,0.01569021,0.026830769,0.000856843,0.001890909,0.010464436,0.117862937,0.128682118,0.058175425,0.047908092,0.045917483,0.021996803,0.035832567,0.039460539,0.017655145,0.006790518,0.002045477,0.001814608,0.008789492,0.004124009,0.003262122,0.004353917,0.005195892,0.011214689,0.014903674,0.024067604,0.027407377,0.034086049,0.030179807,0.025586092,0.001243366,0.002435601,0.001155228
19,-7,0.030641558,0.02897992,0.044095604,0.00532967,0.01926034,0.030607892,0.000338062,0.001568831,0.019421978,0.097767333,0.097079321,0.037487413,0.065954545,0.055731768,0.049432068,0.035432168,0.039478921,0.018113087,0.004831911,0.001595338,0.001705701,0.005949732,0.003305104,0.00328898,0.003551416,0.004894513,0.01976317,0.025129582,0.035464206,0.013068163,0.015060995,0.01513812,0.020737887,0.000833961,0.001593777,0.000766071
19,-8,0.033602697,0.029364136,0.043795704,0.009541658,0.021386114,0.032596404,0.003046553,0.006938961,0.040592108,0.077110989,0.068705395,0.031993806,0.070381818,0.058607992,0.060956144,0.035273926,0.039433367,0.018247353,0.003387015,0.001491932,0.00137545,0.008360689,0.00246207,0.00321061,0.013055052,0.018554802,0.029543711,0.027595547,0.035461927,0.007714216,0.005674645,0.013069666,0.013760594,0.000796397,0.001608274,0.000843854
19,-9,0.035148951,0.028764336,0.042822977,0.012990909,0.022523776,0.034142857,0.004965035,0.011112787,0.074380519,0.054756943,0.04333966,0.028473726,0.069801698,0.062288312,0.066347552,0.034813586,0.039423776,0.018801199,0.003652903,0.00164651,0.001334638,0.009432102,0.002069235,0.003077489,0.016888454,0.02186328,0.027961571,0.023069052,0.024618525,0.004858409,0.011863917,0.005482475,0.007029203,0.00098954,0.001969365,0.001033264
19,0,0.041889011,0.006246254,0.023530769,0.0805005,0.049732567,0.007591708,0.102332468,0.116577922,0.076119381,0.064727073,0.096689011,0.113617582,0.057213487,0.055651349,0.074845654,0.029641259,0.027122278,0.005880719,0.007078778,0.030499669,0.036516955,0.01317306,0.032091397,0.035207797,0.014922927,0.030554195,0.043926621,0.056907494,0.062148532,0.050359739,0.011959327,0.007560797,0.008589297,0.016425639,0.019785308,0.014103067
