x,y,VAUD_mean,VBUD_mean,VCUD_mean,VALR_mean,VBLR_mean,VCLR_mean,PXAL_mean,PXAM_mean,PXAR_mean,PXBL_mean,PXBM_mean,PXBR_mean,PYAL_mean,PYAM_mean,PYAR_mean,PYBL_mean,PYBM_mean,PYBR_mean,VAUD_std,VBUD_std,VCUD_std,VALR_std,VBLR_std,VCLR_std,PXAL_std,PXAM_std,PXAR_std,PXBL_std,PXBM_std,PXBR_std,PYAL_std,PYAM_std,PYAR_std,PYBL_std,PYBM_std,PYBR_std
18,-1,0.018900699,0.005857642,0.011196903,0.022928871,0.010959141,0.02205015,0.02635035,0.051621479,0.032842657,0.079351648,0.045437662,0.018418581,0.022082817,0.038371475,0.035685746,0.011236763,0.009376424,0.007536364,0.007561683,0.012865034,0.011771713,0.009015375,0.00808535,0.014887051,0.03123343,0.035472587,0.030697572,0.037164879,0.047504642,0.03147522,0.016136663,0.014317372,0.008760209,0.007270544,0.009152018,0.008516393
18,-2,0.01683986,0.004766833,0.008731568,0.024050849,0.011246054,0.022716284,0.041524176,0.068570829,0.031407992,0.06511998,0.037480819,0.022453047,0.024657842,0.039334312,0.035372059,0.012271728,0.008199301,0.006782617,0.007865164,0.012106609,0.014161623,0.009034361,0.010435236,0.019002684,0.030588224,0.03413228,0.035949838,0.040132188,0.04912248,0.036504605,0.011474109,0.013085158,0.007140814,0.006799746,0.011525458,0.007303028
18,-3,0.015112887,0.002192507,0.01258971,0.019511089,0.010854745,0.025893007,0.032113986,0.043257942,0.022236563,0.046765135,0.040222677,0.033533566,0.019712088,0.035981465,0.036295136,0.012246853,0.008501698,0.006524176,0.01421212,0.018775805,0.016560701,0.013462416,0.01632972,0.022566138,0.037576977,0.04398014,0.033095715,0.045523914,0.052195342,0.04504042,0.01739857,0.016147651,0.009438288,0.006361489,0.00924624,0.008198471
18,-4,0.013104595,0.001427473,0.015153546,0.016183516,0.006902897,0.030736863,0.029913886,0.04153037,0.014427972,0.057581618,0.052717882,0.041876024,0.018356244,0.032142604,0.033212219,0.012837163,0.010045654,0.005637562,0.015106105,0.016383353,0.011574947,0.014224911,0.018728523,0.023566599,0.036273942,0.042093352,0.037430786,0.045820681,0.054805906,0.046528859,0.020164547,0.021732019,0.015793233,0.006065368,0.007759562,0.009832616
18,-5,0.005204695,0.001208691,0.014592607,0.010845554,0.004854446,0.026204396,0.019878621,0.025841059,0.010877423,0.042036563,0.046153047,0.033584515,0.010122478,0.024658188,0.026160471,0.012375624,0.011924376,0.007527273,0.019230123,0.016379634,0.009888982,0.01879817,0.019593312,0.021560756,0.03495289,0.041333403,0.038588397,0.045092058,0.057576027,0.047517754,0.028782448,0.030419941,0.021404303,0.005580083,0.006444128,0.00744184
18,-6,0.001650549,0.001027073,0.014341658,0.00560969,0.005666334,0.019743756,0.009682517,0.021019281,0.014944456,0.034461039,0.044257143,0.029766134,0.002382018,0.008964082,0.01208105,0.011747253,0.011951548,0.007096603,0.026265007,0.018179242,0.008810441,0.021357147,0.020560826,0.019663337,0.03134363,0.0419433,0.040548359,0.047870059,0.061216675,0.045720247,0.036440228,0.044424674,0.035093988,0.005745379,0.005282636,0.009369169
18,-7,0,0.004210889,0.017186414,0.005154146,0.011271029,0.01791049,0.017200699,0.036487812,0.035796603,0.018966833,0.02072018,0.009997403,0,0.002522724,0.004875456,0.011657842,0.011522278,0.008421578,0.029698318,0.013488323,0.004671192,0.020808157,0.021566618,0.014043982,0.03345505,0.043009276,0.04096871,0.042865022,0.047802359,0.027314926,0.037791387,0.047181336,0.040103156,0.005792727,0.004584431,0.006633013
18,-8,0.000989011,0.006161638,0.019112687,0.007726174,0.016298901,0.015764236,0.030411389,0.048802797,0.037937562,0.000166334,0.004969331,0.00386014,0.005721678,0.008442504,0.007342289,0.012642458,0.011162537,0.007881918,0.029369394,0.011164864,0.00370892,0.022833304,0.018639005,0.012019997,0.037735087,0.046274623,0.042006229,0.028129357,0.027647584,0.016410233,0.033955642,0.044431091,0.040014457,0.005126748,0.004408875,0.005844478
18,0,0.020048951,0.009020879,0.011576823,0.024957842,0.012113187,0.017997003,0.034609191,0.05505025,0.044741658,0.082252348,0.035079421,0.008225874,0.0226997,0.038451595,0.03575148,0.010707293,0.007781219,0.008559441,0.006335521,0.007519211,0.013539117,0.01081466,0.006153178,0.013226803,0.031989965,0.036211926,0.028147258,0.03559259,0.045927627,0.022555542,0.011654425,0.013885163,0.009039105,0.005547276,0.011607489,0.007822538
18,1,0.018216983,0.008348152,0.013615884,0.027799401,0.011446753,0.018800699,0.038673826,0.049460939,0.036004595,0.089384016,0.035710789,0.008041758,0.022618881,0.037011935,0.034345985,0.01110989,0.009114186,0.008924376,0.007449149,0.008085132,0.010715816,0.01189708,0.007598872,0.011049103,0.034338946,0.038126495,0.033193255,0.032038972,0.04452234,0.023569518,0.016423431,0.018997839,0.008538249,0.005167167,0.011971641,0.006496132
18,2,0.01618012,0.007166533,0.013876324,0.02695984,0.012489011,0.015440759,0.032588212,0.043102597,0.043313187,0.080046354,0.030530769,0.006264835,0.021861039,0.035625321,0.032885746,0.008973027,0.0115999,0.008948551,0.008940882,0.009442148,0.007219775,0.01574286,0.009166913,0.010423294,0.036766204,0.040485768,0.02999495,0.038914577,0.042436033,0.02014565,0.01741936,0.019806466,0.010715912,0.007046897,0.00776862,0.007172886
18,3,0.014990809,0.005629271,0.012664935,0.024401598,0.014544955,0.01253996,0.035143856,0.036825974,0.02586973,0.058358841,0.030959041,0.010058342,0.020564835,0.034351195,0.031234097,0.009050949,0.010728871,0.005658541,0.009422617,0.012692291,0.007877362,0.018377364,0.015344796,0.011543025,0.039806921,0.044735165,0.038177137,0.042349112,0.041538226,0.024054913,0.018859864,0.020626882,0.014154877,0.008011661,0.008922542,0.011349853
18,4,0.013924176,0.003245455,0.01214965,0.029723377,0.014611688,0.012953047,0.050510889,0.046002897,0.03146014,0.053786114,0.043320879,0.014706693,0.022760539,0.035161985,0.033190741,0.008823277,0.009364036,0.006064236,0.01228656,0.014700762,0.011541659,0.016955679,0.016926766,0.014276903,0.040266084,0.046102077,0.037357807,0.047009559,0.049215163,0.027127598,0.014636951,0.019234554,0.012712835,0.009758525,0.009736752,0.008861898
18,5,0.016174725,0.001105095,0.008766833,0.023129371,0.017389011,0.011157742,0.041422677,0.049338362,0.039395405,0.040155844,0.030168531,0.01411968,0.025142757,0.039355991,0.036168863,0.005161239,0.006768631,0.00506963,0.008488639,0.018768817,0.015034758,0.01648617,0.017907637,0.017937949,0.037890288,0.043438783,0.03678886,0.046394006,0.044308749,0.028556398,0.009086134,0.009049631,0.006348455,0.012018395,0.011926411,0.010971553
18,6,0.018298402,0.002510889,0.005112488,0.01673996,0.018324775,0.007057043,0.026991608,0.045189211,0.04957003,0.038519181,0.028047852,0.011815485,0.026488112,0.040392854,0.03681112,0.001285315,0.005567333,0.005152448,0.006046062,0.013586505,0.018772218,0.013330328,0.019291675,0.019489724,0.035944681,0.042222432,0.030398964,0.048280644,0.049962068,0.028213804,0.007558381,0.007084061,0.004618961,0.013909479,0.013288469,0.011024874
18,7,0.017448252,0.002461139,0.002233866,0.01308032,0.013216883,0.001165335,0.004647153,0.013496903,0.035116284,0.027165534,0.020500799,0.007833067,0.027254945,0.041418628,0.036765566,0,0.001511588,0.002622478,0.007236146,0.013514035,0.021671585,0.009582405,0.015887239,0.017524877,0.028216281,0.038435892,0.034649226,0.045068687,0.045782295,0.026194011,0.005845871,0.005842184,0.003110309,0.013729953,0.016448132,0.014918617
18,8,0.017611089,0.004419381,0,0.015643457,0.00626044,0.000742657,0.002026474,0,0.017405295,0.039023077,0.020795205,0.004305794,0.027662537,0.042479467,0.035286645,0.002267133,0,0,0.0064902,0.009292102,0.021027261,0.00784189,0.013535048,0.018899242,0.019542306,0.025433247,0.033960073,0.046985102,0.043590731,0.021071018,0.004897701,0.004527988,0.002456765,0.012669882,0.018159262,0.017361385
19,-1,0.02004036,0.008963237,0.012205794,0.024838961,0.012905395,0.022280719,0.031122577,0.056822378,0.051285714,0.085395704,0.046074925,0.014907093,0.025996383,0.040963308,0.036040584,0.01145005,0.009091625,0.00840967,0.004625149,0.006480746,0.010587711,0.008529424,0.006635754,0.014341956,0.033976452,0.035969964,0.027667161,0.030145475,0.050462728,0.028614304,0.009058593,0.006997418,0.003872455,0.005865726,0.010136542,0.006938249
19,-2,0.018632168,0.006957942,0.009064036,0.024711189,0.011289411,0.023186813,0.037638062,0.06859041,0.038377822,0.076551349,0.042456743,0.018873726,0.025253925,0.040348923,0.035776249,0.013023976,0.008935082,0.007564915,0.005709755,0.008298971,0.014090662,0.007673781,0.006746601,0.017347823,0.030597383,0.03402411,0.030463084,0.035554573,0.048852236,0.032314921,0.01140734,0.009636189,0.004854994,0.005229625,0.010659132,0.006324763
19,-3,0.01651049,0.003606693,0.010294505,0.021163437,0.01178032,0.023716583,0.028717882,0.051763836,0.020826773,0.051071828,0.043665634,0.026081618,0.023571408,0.038589982,0.035271254,0.013637962,0.007631585,0.006577403,0.009835956,0.014950729,0.014453011,0.009803738,0.010170394,0.019181605,0.034670107,0.04215012,0.037393608,0.04485066,0.052093766,0.036856064,0.013225339,0.012541199,0.0085342,0.004914094,0.011772248,0.007840599
19,-4,0.015683816,0.004135864,0.014985714,0.017966733,0.009004396,0.027093407,0.028565435,0.048381219,0.012668432,0.057992408,0.056399001,0.03722008,0.022101578,0.036068803,0.035818107,0.013738062,0.009272345,0.006379001,0.011165444,0.013865725,0.008423968,0.012871541,0.013947796,0.02291365,0.03686563,0.045439403,0.037378366,0.045287675,0.054703925,0.044536314,0.014462018,0.016494883,0.010046179,0.004920112,0.008235157,0.00776764
19,-5,0.011056843,0.00171998,0.014626773,0.01599011,0.009419181,0.028913287,0.03141958,0.043041758,0.027471928,0.053627572,0.059965335,0.047634565,0.016561817,0.029559013,0.031069156,0.013625075,0.009921695,0.007126653,0.017378356,0.018631452,0.010933986,0.017589807,0.020854089,0.023489083,0.038079765,0.044470077,0.037890273,0.046020162,0.058127403,0.051800855,0.021756861,0.025171228,0.018574368,0.005329508,0.007181232,0.007214561
19,-6,0.003290609,0.002077922,0.01336993,0.013484216,0.00288002,0.022647053,0.022660639,0.027480519,0.008802797,0.054380619,0.062075924,0.037434965,0.007917961,0.016908263,0.019837987,0.01264016,0.011983434,0.006932947,0.022245937,0.016355009,0.009512162,0.022639399,0.020065805,0.020346311,0.036671683,0.042133488,0.03821293,0.046521883,0.061784884,0.049326716,0.031783964,0.038820078,0.029142058,0.006347176,0.005618366,0.008884393
19,-7,0.00053996,0.003613786,0.013331568,0.005958042,0.002885215,0.013967233,0.015272727,0.027634665,0.016362537,0.035810689,0.034647852,0.015223976,0.004038541,0.006309162,0.009978047,0.012358442,0.011589827,0.008476304,0.027721013,0.013790701,0.009092562,0.022319722,0.023787187,0.016301129,0.034473571,0.042032366,0.040829214,0.048332319,0.055352218,0.035940358,0.034716397,0.045710867,0.03650192,0.004454536,0.005773991,0.006897482
19,-8,0.003659441,0.005092008,0.017184116,0.004120679,0.011722977,0.014383217,0.020098901,0.0356,0.029788511,0.014636464,0.012351149,0.004581518,0.004989889,0.007840032,0.009965959,0.011980619,0.010524792,0.008765415,0.0259989,0.012929091,0.005023381,0.020975625,0.021883764,0.013994486,0.03590632,0.045170824,0.042992761,0.0388554,0.037602923,0.017618727,0.034481951,0.044049887,0.037951581,0.00541686,0.004888217,0.005348863
19,0,0.018407892,0.007797602,0.01312028,0.02657972,0.014177323,0.017296004,0.046276923,0.064059441,0.056435465,0.066427572,0.030982517,0.007822577,0.025101877,0.039925146,0.034755769,0.011726773,0.010466251,0.00851037,0.005526734,0.008409065,0.009445335,0.010219883,0.00828098,0.011572943,0.033024819,0.035457216,0.020320542,0.038078764,0.040652661,0.020757924,0.012094329,0.012006606,0.005083925,0.005570737,0.009077196,0.005291044
19,1,0.017763536,0.008119481,0.013468332,0.028564336,0.011013387,0.016476124,0.042522777,0.051856044,0.042937662,0.086161938,0.034024875,0.004166733,0.025121857,0.039357914,0.033903022,0.010792408,0.009488928,0.009037243,0.008533357,0.00602819,0.009224793,0.013147887,0.007534569,0.009263878,0.035818354,0.040429049,0.030927261,0.035457806,0.041665238,0.01677352,0.011336903,0.014054775,0.010154145,0.006256183,0.010817051,0.005802573
19,2,0.01599031,0.007848651,0.014293007,0.026922478,0.013086513,0.014464136,0.038531269,0.052616384,0.040641958,0.075037463,0.036751349,0.007049151,0.022916163,0.037143328,0.032627597,0.009847153,0.010595621,0.008539241,0.01132964,0.007279819,0.008464939,0.015953023,0.011049107,0.008930119,0.038136791,0.042468413,0.032384969,0.040848632,0.041475699,0.020611041,0.014893212,0.015578618,0.012636572,0.007137029,0.008526471,0.006128652
19,3,0.0158995,0.005547552,0.012359341,0.030574725,0.013597802,0.013285015,0.046032368,0.054643556,0.041882318,0.066936064,0.045913487,0.010334565,0.020826852,0.03584183,0.033633991,0.009115884,0.009483234,0.007301179,0.008820169,0.011447967,0.011596811,0.016092719,0.013493523,0.011460426,0.040795236,0.043939139,0.032562286,0.045459424,0.052345679,0.022946105,0.017376824,0.017643267,0.009906874,0.008513275,0.009295656,0.00688125
19,4,0.015001798,0.003064635,0.011682118,0.028030869,0.016317083,0.011886414,0.05361968,0.059239061,0.043536164,0.057238561,0.044251449,0.01557013,0.023743935,0.038676096,0.034266958,0.008205894,0.009481835,0.005046234,0.010415681,0.01576391,0.011314322,0.015987041,0.016294728,0.015942679,0.037049059,0.041864527,0.032821697,0.046341408,0.050911675,0.027888274,0.012703661,0.012620549,0.009961377,0.010740448,0.009609048,0.010398217
19,5,0.01741958,0.003394106,0.009158841,0.025756444,0.016485015,0.010154845,0.04742967,0.056305894,0.048286214,0.041770629,0.038717283,0.018685415,0.026068511,0.040159112,0.035485939,0.005461838,0.007034383,0.005598581,0.007007017,0.014333138,0.015251418,0.015566581,0.017547603,0.017567144,0.037799968,0.04247893,0.030714215,0.046753293,0.050276706,0.034867586,0.00770629,0.008729053,0.006971124,0.012791083,0.011775939,0.008284251
19,6,0.018085015,0.003854745,0.007572228,0.019037363,0.013783017,0.004198302,0.031211588,0.041848152,0.044226873,0.03715025,0.026438162,0.011016783,0.026203276,0.040110561,0.036485939,0.002643257,0.005369747,0.003416164,0.00701004,0.013844269,0.017101079,0.012088326,0.016560375,0.015104548,0.038135467,0.042190951,0.032588027,0.045524693,0.049301667,0.028299011,0.006785577,0.006690363,0.004736031,0.013622455,0.012432831,0.012980949
19,7,0.016546953,0.002642657,0.002546354,0.014687712,0.009971728,0.000802298,0.005672527,0.007038262,0.018997902,0.023984715,0.013298102,0.005989211,0.0278793,0.042128543,0.035461763,0.002135365,0.002538678,0.003026453,0.009137917,0.014369492,0.019614012,0.008818659,0.017215545,0.01827172,0.026241221,0.033146523,0.036052068,0.043551156,0.040159872,0.02505886,0.006096393,0.005944452,0.003129531,0.013845939,0.016159717,0.014519405
19,8,0.01714046,0.003695305,0.000991009,0.016388511,0.002514486,0,0.003253746,0.001417083,0.011652747,0.036886214,0.024816583,0.005895604,0.027934345,0.042869202,0.035073751,0.004416583,0.002561655,8.20E-05,0.006263821,0.009800898,0.021137175,0.006606772,0.014861713,0.018778592,0.01929938,0.025100091,0.032112486,0.046391273,0.047206564,0.024862489,0.0056736,0.004694063,0.002495297,0.011937498,0.015649941,0.016476832
20,-1,0.01957972,0.007332867,0.01277972,0.026142857,0.013560939,0.020399101,0.04519041,0.068457542,0.050871329,0.071198801,0.036195305,0.011141658,0.024881381,0.040591409,0.036438661,0.012049351,0.008876921,0.008515978,0.005234521,0.00966902,0.010239001,0.007124928,0.005671744,0.016206323,0.032513918,0.033950784,0.025190782,0.038641871,0.047780275,0.025544094,0.011272837,0.009252327,0.004565543,0.005142924,0.00947094,0.003638503
20,-2,0.019238262,0.007052248,0.011488112,0.023621578,0.011101199,0.020259441,0.030766134,0.056653447,0.025882517,0.074276623,0.044146553,0.019823976,0.022753409,0.037794006,0.036283017,0.012035664,0.006494604,0.007168825,0.00969585,0.011712857,0.014063326,0.008331203,0.007674115,0.016466748,0.031783182,0.036303308,0.033217571,0.037102124,0.050101265,0.033626866,0.013594988,0.01405749,0.009216603,0.00646386,0.011790245,0.00660293
20,-3,0.016028771,0.006229171,0.014392308,0.022534066,0.012655744,0.025809491,0.039022977,0.059317083,0.021692108,0.055552348,0.050357542,0.031657942,0.022543419,0.037485115,0.035516184,0.013468831,0.008950748,0.005080114,0.013157898,0.009861694,0.008995196,0.010336529,0.011460858,0.021626653,0.03622247,0.040821227,0.035858153,0.045013959,0.054904035,0.041457759,0.014918483,0.015196135,0.009632616,0.005288887,0.008357353,0.009633906
20,-4,0.015305395,0.003024476,0.014456044,0.018867732,0.0104003,0.028468332,0.031009391,0.050458841,0.02462008,0.062299201,0.05546963,0.042468432,0.020778583,0.03575974,0.035260939,0.013683317,0.009733565,0.006397097,0.011651482,0.015682963,0.008331846,0.013435596,0.016783783,0.021324258,0.036942217,0.041848133,0.036611981,0.044099908,0.053970147,0.04643102,0.016985876,0.017246757,0.011599745,0.004721544,0.007844327,0.007601216
20,-5,0.008921878,0.00170959,0.012171129,0.014761838,0.005538462,0.027336963,0.022266434,0.033629071,0.015796503,0.057366234,0.058302498,0.040195904,0.0189619,0.033898601,0.03128042,0.012806394,0.010073425,0.006722272,0.016369558,0.016545709,0.013046458,0.018526788,0.018869248,0.022884211,0.036112809,0.044582084,0.038905074,0.043245527,0.05724235,0.0476205,0.019182071,0.020845055,0.016391394,0.005425467,0.00960002,0.008687616
